OrderID,CustomerID,EmployeeID,ProductID,TransactionID,Order_Date,Transaction_Time,Order_Status,PaymentMethod,ProductName,Product_Brand,Product_Description,Transaction_Amount,Product_UnitPrice,Product_quantity,Product_Total_Amount,ProductCategory
OR0051,CID1835,EID1035,PD0017,TR0620,2023/11/19,2022/8/28,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,27.84,51.59,2,103.18,Bird Care; Pet Accessories
OR0398,CID1594,EID1035,PD0017,TR0192,2024/6/16,2022/3/28,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,34.8,24.46,7,171.22,Bird Care; Pet Accessories
OR0758,CID1761,EID1041,PD0017,TR0019,2024/12/3,2022/4/22,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,20.88,33.25,5,166.25,Bird Care; Pet Accessories
OR0758,CID1520,EID1041,PD0017,TR0553,2024/12/3,2022/3/22,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,20.88,37.76,5,188.8,Bird Care; Pet Accessories
OR0758,CID1662,EID1041,PD0017,TR0669,2024/12/3,2023/10/20,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,62.64,82.45,5,412.25,Bird Care; Pet Accessories
OR0758,CID1732,EID1041,PD0017,TR1852,2024/12/3,2023/10/2,Delivered,Credit Card,Bird Feeder,PetLife,Bird feeder for garden use.,34.8,42.18,5,210.9,Bird Care; Pet Accessories
OR1686,CID1191,EID1018,PD0017,TR0740,2023/11/14,2022/8/12,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,6.96,79.03,7,553.21,Bird Care; Pet Accessories
OR1686,CID1366,EID1018,PD0017,TR1675,2023/11/14,2022/1/6,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,62.64,34.16,7,239.12,Bird Care; Pet Accessories
OR1020,CID1193,EID1003,PD0017,TR1193,2024/8/2,2022/9/25,Canceled,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,69.6,41.41,7,289.87,Bird Care; Pet Accessories
OR1585,CID1865,EID1022,PD0017,TR0378,2023/1/14,2022/6/27,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,20.88,65.55,10,655.5,Bird Care; Pet Accessories
OR1442,CID1702,EID1030,PD0017,TR0324,2024/9/11,2023/3/12,Delivered,Bank Transfer,Bird Feeder,PetLife,Bird feeder for garden use.,48.72,47.6,1,47.6,Bird Care; Pet Accessories
OR0224,CID1514,EID1001,PD0017,TR0449,2024/9/18,2022/12/29,Canceled,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,13.92,97.38,5,486.9,Bird Care; Pet Accessories
OR1079,CID1206,EID1046,PD0017,TR0414,2024/12/3,2022/7/30,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,27.84,62.57,6,375.42,Bird Care; Pet Accessories
OR1079,CID1103,EID1046,PD0017,TR0634,2024/12/3,2023/12/23,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,55.68,16.87,6,101.22,Bird Care; Pet Accessories
OR1758,CID1042,EID1023,PD0017,TR0305,2024/10/17,2022/4/29,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,13.92,5.42,3,16.26,Bird Care; Pet Accessories
OR0116,CID1588,EID1046,PD0017,TR1288,2023/4/21,2023/8/16,Delivered,Apple Pay,Bird Feeder,PetLife,Bird feeder for garden use.,41.76,93.1,1,93.1,Bird Care; Pet Accessories
